link_booking,name_booking,precio_booking,rating_booking,review_booking
www.airbnb.com.pe/rooms/1218645303173234166?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971156620&search_mode=regular_search&check_in=2025-01-07&check_out=2025-01-12&source_impression_id=p3_1730060347_P30pNXf5SeHbv4lA&previous_page_section_name=1000,Habitación Individual,162,4.93,15
www.airbnb.com.pe/rooms/27127886?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1198245423&search_mode=regular_search&check_in=2025-01-14&check_out=2025-01-19&source_impression_id=p3_1730060351_P3kyW4Bd7GgFo_gJ&previous_page_section_name=1000,Cómoda y luminosa. Muy cerca Campo del Barça WIFI,146,4.92,284
www.airbnb.com.pe/rooms/1221751561372481946?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1973735631&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060355_P34CgxSD1M6ealjw&previous_page_section_name=1000,Habitacion individual,124,4.72,18
www.airbnb.com.pe/rooms/41822352?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1877977358&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730060359_P31XisTKW7y0v-tn&previous_page_section_name=1000,Balcón privado para 2 personas cerca de la Sagrada Familia,374,4.91,23
www.airbnb.com.pe/rooms/583987826544046548?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2014996220&search_mode=regular_search&check_in=2025-01-02&check_out=2025-01-07&source_impression_id=p3_1730060362_P3A-1MsU2VtsYLZb&previous_page_section_name=1000,Precioso apartamento  cerca  ala estación de sants,101,4.6,189
www.airbnb.com.pe/rooms/982574005765784708?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060366_P3NxYRsF4nGlN0pR&previous_page_section_name=1000,Bienvenido Apart. Bergueda Street,271,5.0,7
www.airbnb.com.pe/rooms/6833040?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=680690576&search_mode=regular_search&check_in=2024-12-11&check_out=2024-12-16&source_impression_id=p3_1730060370_P3vBIFNoXUhBSBm0&previous_page_section_name=1000,Habitación Privada cerca del Estadio Camp Nou,130,4.52,292
www.airbnb.com.pe/rooms/15593934?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1756964401&search_mode=regular_search&check_in=2025-01-10&check_out=2025-01-15&source_impression_id=p3_1730060373_P3CKMYY9rasXUW0-&previous_page_section_name=1000,Bonita habitación barata y céntrica de 31 días en Barcelona,163,4.81,502
www.airbnb.com.pe/rooms/1202828460995202150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-08&check_out=2024-12-13&source_impression_id=p3_1730060377_P3EC6eVWguxIIN3g&previous_page_section_name=1000,Palacio de la Música 9,645,4.75,4
www.airbnb.com.pe/rooms/27381858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=609143690&search_mode=regular_search&check_in=2024-12-14&check_out=2024-12-19&source_impression_id=p3_1730060380_P35oxgzDPWn3FSyG&previous_page_section_name=1000,Hab X 2 :) Hospital Sant Pau y Sagrada Familia,153,4.56,209
www.airbnb.com.pe/rooms/1233912067738312329?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1983896100&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730060384_P3rSK0gE-ve6TQWl&previous_page_section_name=1000,Habitación privada La Eixample para 2 personas,444,4.38,8
www.airbnb.com.pe/rooms/16762460?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=951434518&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730060388_P3lS0jSU2B7kn57S&previous_page_section_name=1000,Hogar compartido.,199,4.77,430
www.airbnb.com.pe/rooms/563396040001104055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730060391_P3VJn22J7sf5ZKmM&previous_page_section_name=1000,Acogedor dormitorio de 6 plazas,124,4.37,121
www.airbnb.com.pe/rooms/1018087113579414014?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1774183212&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730060395_P3HysSUh3iFrK102&previous_page_section_name=1000,Habitación con dos camas separadas.,114,4.68,37
